valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.655,2016,0.143,['Florida Georgia Line'],0.563,231773,0.87,0,235yGFHw30yUPg1qdJFzRI,0.0,6,0.114,-4.412,1,"Good Girl, Bad Boy",52,2016-08-26,0.0351,140.064
0.376,2016,0.0135,['BANNERS'],0.535,215960,0.728,0,3cpOqFZ30z5cUJUC9MYaar,0.0,10,0.133,-4.008,0,Start A Riot,53,2016-01-15,0.033,144.02200000000005
0.464,2016,0.477,"['Miguel', 'Kacey Musgraves']",0.79,246294,0.599,0,0JhyMqi5ihsk5neC8DMbbz,4.26e-06,10,0.344,-7.574,0,waves (feat. Kacey Musgraves) - Remix,52,2016-02-26,0.0301,105.997
0.342,2016,0.994,['Tony Deans'],0.58,225954,0.0721,0,5QarVtsSmGDiIsCy49yLEs,0.952,9,0.0953,-19.253,1,Do They Know It's Christmas?,56,2016-11-23,0.0568,94.284
0.464,2016,0.0665,['Post Animal'],0.245,323200,0.773,0,5azJUob8ahbXB3M9YFwTpd,0.00046,0,0.358,-5.985,1,When I Get Home,53,2016-07-22,0.0525,148.134
0.143,2016,0.22,['Lil Uzi Vert'],0.8420000000000001,247092,0.333,1,7A1Heow9lN9CIuuJzJ6MDP,0.0,8,0.168,-13.886,1,Money Mitch,52,2016-08-10,0.384,141.001
0.483,2016,0.17,['Night Lovell'],0.8009999999999999,227115,0.679,1,6lt8N5nSY1EaiyeDRAIwcW,8.85e-06,4,0.188,-8.747,0,Contraband,58,2016-06-14,0.0527,130.015
0.148,2016,0.3720000000000001,['Gus Dapperton'],0.28,198014,0.42,0,08VEQesIyvMu4xIxec8lMT,8.87e-06,4,0.134,-9.553,0,"Moodna, Once With Grace",56,2016-05-17,0.0366,65.13
0.925,2016,0.618,['Aventura'],0.797,285227,0.536,0,6eB5YDhEiJ2vsNajJP3732,0.0,11,0.234,-8.469,0,Todavía Me Amas,61,2016-02-05,0.037,130.018
0.797,2016,0.234,"['Reik', 'Nicky Jam']",0.768,219227,0.742,0,2SSYqDX8KTgy01NlqtUo0F,0.0,9,0.14,-6.308,1,Ya Me Enteré (feat. Nicky Jam) - Urban Version,63,2016-06-17,0.0443,114.679
0.971,2016,0.545,['Gerardo Ortiz'],0.6829999999999999,173867,0.481,0,4US4uNDUynAor7UMaQHaxv,0.0,7,0.0741,-6.931,1,Mujer De Pierda,62,2016-04-15,0.0444,148.22299999999996
0.503,2016,0.0613,['The Phantoms'],0.5589999999999999,214875,0.606,0,2iVQMhKnFZqomOhcGv340f,0.0,0,0.095,-6.857,1,Watch Me,59,2016-01-25,0.0321,79.98
0.0344,2016,1.58e-05,['Sleepy Times'],0.16,146280,0.4370000000000001,0,0a1sxFB8T9nNOWeR1CDS0b,0.977,1,0.394,-32.342,1,"Thunderstorm for Relaxing Sleep, Pt. 4",55,2016-01-12,0.0732,109.381
0.36,2016,0.442,['Saib'],0.6679999999999999,264000,0.544,0,1es71gP1Ljrf6KVvqR1T75,0.857,2,0.141,-9.396,0,Shanghai Nights,57,2016-04-22,0.0569,93.868
0.618,2016,0.0148,['The Arcs'],0.51,289486,0.816,0,1s5wRbjKYS4PwvRiUDGtVt,0.0574,2,0.115,-7.127000000000002,1,Lake Superior,54,2016-01-06,0.0484,110.124
0.508,2016,0.099,"['Isaiah Rashad', 'SZA']",0.568,423170,0.7140000000000001,1,2eYY43d0V17SxOX0g7sBAD,0.00522,11,0.116,-8.228,1,Stuck in the Mud (feat. SZA),53,2016-09-02,0.368,150.024
0.488,2016,0.404,['BIGBANG'],0.648,219429,0.6809999999999999,0,4a1FFgdBIbAvyn4d40YAPZ,0.0,0,0.329,-4.251,0,LOSER,63,2016-12-13,0.0937,89.947
0.633,2016,0.126,['The Technicolors'],0.5710000000000001,288836,0.655,0,6mc2JQbl1IJQhgUO0eSvVQ,1.39e-05,11,0.165,-7.576,1,Space Cadet,53,2016-06-24,0.0307,85.98700000000002
0.735,2016,0.6609999999999999,['Joss Favela'],0.741,217200,0.468,0,4V3oSMh34oj9SP4KX9do3Y,0.0,7,0.111,-6.289,1,Cuando Fuimos Nada,61,2016-05-06,0.0438,139.93
0.38,2016,3.28e-05,['Metallica'],0.1689999999999999,350644,0.978,0,5sEcwMeC3QDnSOWlyQyQ3E,0.00395,4,0.0567,-3.37,0,Moth Into Flame,52,2016-11-18,0.0657,179.035
0.695,2016,0.295,"['Saba', 'Phoelix', 'Bjrknc']",0.735,211296,0.639,1,0HU8CeTestQjoRF2ekaLqx,0.0,6,0.108,-7.463999999999999,0,Stoney,53,2016-10-27,0.247,158.865
0.417,2016,0.228,"['Burden', 'The Real Sam Adams']",0.7240000000000001,236774,0.601,0,1oGwVdzZGCJlERz4T4GY2C,0.0,0,0.148,-8.187999999999999,0,Trust Issues,51,2016-11-19,0.375,127.922
0.391,2016,0.00233,['Sabaton'],0.403,215787,0.967,0,6HlcJ8rDBZiIyzrfTkCY8R,0.0,10,0.324,-4.274,1,The Lost Battalion,60,2016-08-19,0.108,175.90599999999995
0.696,2016,0.0128,['Anderson .Paak'],0.639,234333,0.907,1,5zyySSTcBpXQ8gSbuONRH7,0.328,9,0.7040000000000001,-7.85,1,Parking Lot,53,2016-01-15,0.0409,97.019
0.3670000000000001,2016,0.261,"['Jelly Roll', 'Lil Wyte', 'DJ Paul']",0.885,260063,0.498,1,3E99aSAFKvgFAK4CtOoZVd,0.00171,0,0.6729999999999999,-8.06,1,Problem Wit It (feat. DJ Paul),51,2016-11-18,0.0556,119.988
0.296,2016,0.0236,['Cash Cash'],0.542,208133,0.894,0,0bmB3nzQuHBfI6nM4SETVu,0.0,1,0.132,-2.879,1,Surrender,51,2016-06-24,0.0676,127.947
0.107,2016,0.994,['Mila Crowell'],0.486,177391,0.02,0,6jnVe0mrlljgBx7il7YtUJ,0.918,8,0.13,-22.364,1,Have Yourself a Merry Little Christmas,56,2016-10-28,0.0506,125.578
0.8109999999999999,2016,0.0812,['Anne-Marie'],0.7559999999999999,205593,0.589,1,0OwX5aROoW1Iip8FV51Efg,0.0,0,0.176,-5.093,1,Alarm,62,2016-05-20,0.232,146.928
0.674,2016,0.105,"['Galantis', 'Hook N Sling']",0.562,205920,0.906,0,2MHCiOohBZEQuLgDTPvSzF,0.0,4,0.145,-2.085,1,Love on Me,60,2016-09-30,0.0758,124.146
0.345,2016,0.0135,"['Rvssian', 'Arcangel', 'Farruko', 'Konshens', 'Nicky Jam']",0.7390000000000001,260000,0.5489999999999999,1,4Nu07kdmj2GDenygAFmuT8,0.0,8,0.112,-6.147,0,Privado,50,2016-11-18,0.178,127.055
0.858,2017,0.0503,['Daniel Portman'],0.7140000000000001,194520,0.955,0,4wujbLLoilwsOuhl9cLNon,0.768,0,0.5529999999999999,-5.145,1,Parasol,2,2017-12-22,0.0732,124.993
0.155,2017,0.0963,['Joan Fibla'],0.7929999999999999,375020,0.6409999999999999,0,5Cs7Yz1PVriqsCBAuJ1WRv,0.222,4,0.0582,-8.919,0,Pomarro,0,2017-07-18,0.105,128.017
0.29,2016,2.34e-05,['Flowzhaker'],0.8029999999999999,45650,0.899,0,5E5OXkVj1oWdjKcolvquxe,0.754,7,0.104,-11.117,1,"Hip Beats, Pt. 9 - DJ Tool",0,2016-12-23,0.129,127.026
0.342,2017,0.00671,['Requiem'],0.5429999999999999,203613,0.972,0,5FTYUfM0MD2LHJ5gATDqgn,0.00121,6,0.376,-4.21,0,My Style,1,2017-12-20,0.0684,154.944
0.65,2017,0.000855,['Tune Brothers'],0.735,322560,0.818,0,5TzVTymAkUYdMdNlgkpLrJ,0.861,0,0.0422,-6.459,1,Let the Music - Original Mix,0,2017-12-29,0.0409,125.026
0.145,2017,0.0915,"['B-Front', 'Deluzion']",0.489,244800,0.7659999999999999,0,5ohUb6rPM5IMjBd0HvAZiT,0.0254,1,0.216,-7.302,1,Face the Truth - Deluzion Remix,0,2017-12-20,0.0604,74.998
0.816,2017,0.021,['Bao Huy'],0.731,367801,0.946,0,5olye3TSHlhFKoHXrAiMt2,0.0,9,0.319,-4.621,1,Ngày Xuân Vui Cưới,0,2017-03-22,0.0642,140.037
